14D,A,1414 DEGREES LIMITED FPO,1414 DEGREES LIMITED,FPO,0.090999998152256,200310458,20180912,20210701
1AD,A,ADALTA LIMITED FPO,ADALTA LIMITED,FPO,0.135000005364418,245175853,20160822,20210701
1AG,A,ALTERRA LIMITED FPO,ALTERRA LIMITED,FPO,0.046000000089407,275776274,20080516,20210701
1ST,A,1ST GROUP LTD FPO,1ST GROUP LIMITED,FPO,0.0199999995529652,424616903,20150609,20210701
2BE,S,TUBI LIMITED FPO,TUBI LIMITED,FPO,0.0489999987185001,311306779,20190614,20210401
360,A,LIFE360 INC. CDI FORUS,LIFE360 INC.,CDI FORUS,6.80000019073486,151549074,20190510,20210701
3DA,A,AMAERO INTERNATIONAL FPO,AMAERO INTERNATIONAL LTD,FPO,0.569999992847443,116264504,20191206,20210701
3DP,A,POINTERRA LIMITED FPO,POINTERRA LIMITED,FPO,0.495000004768372,677806204,20140702,20210701
3MF,A,3D METALFORGE FPO,3D METALFORGE LIMITED,FPO,0.170000001788139,96149536,20210302,20210701
3PL,A,3PLEARNING-FPO,3P LEARNING LIMITED,ORDINARY,0,276484170,20140709,20210630
4DS,A,4DS MEMORY LIMITED FPO,4DS MEMORY LIMITED,FPO,0.144999995827675,1320948441,20140721,20210701
4DX,A,4DMEDICAL LIMITED FPO,4DMEDICAL LIMITED,FPO,1.23500001430511,207219508,20200807,20210701
5GG,A,PENTANET FPO,PENTANET LIMITED,FPO,0.660000026226044,203133440,20210129,20210701
5GN,A,5G NETWORKS LIMITED FPO,5G NETWORKS LIMITED,FPO,0.904999971389771,114261123,20171117,20210701
88E,A,88 ENERGY LTD FPO,88 ENERGY LIMITED,FPO,0.0309999994933605,13146545212,20000120,20210701
8CO,A,8COMMON LIMITED FPO,8COMMON LIMITED,FPO,0.135000005364418,200509756,20140827,20210630
8EC,S,8IP EMERG CO LTD DEF SET,8IP EMERGING COMPANIES LIMITED,DEF SET,0.0329999998211861,1127148,20151201,20201014
8IH,A,8I HOLDINGS LTD CDI 1:1,8I HOLDINGS LTD,CDI 1:1,0.300000011920929,361759091,20141217,20210630
8VI,A,8VI HOLDINGS LIMITED CDI 1:1,8VI HOLDINGS LIMITED,CDI 1:1,5.98999977111816,42374422,20151216,20210701
92E,A,92ENERGY FPO,92 ENERGY LIMITED,FPO,0.305000007152557,39390001,20210415,20210701
99L,A,99 LOYALTY LTD. CDI 1:1,99 LOYALTY LIMITED.,CDI 1:1,0.068000003695488,1159682760,20131008,20210701
9SP,A,9 SPOKES INT LIMITED FPO NZ,9 SPOKES INTERNATIONAL LIMITED,FPO NZ,0.0149999996647239,1493337233,20160609,20210701
9SPR,A,9 SPOKES INT LIMITED RTS 10MAY,9 SPOKES INTERNATIONAL LIMITED,RTS 10MAY,0.0020000000949949,330180791,20190430,20190510
A1G,A,AFRICAN GOLD LTD. FPO,AFRICAN GOLD LTD.,FPO,0.245000004768372,91407844,20190214,20210630
A1M,A,AIC MINES LTD FPO,AIC MINES LIMITED,FPO,0.270000010728836,68715018,19931109,20210630
A200,A,BETAAUSTRALIA200ETF ETF UNITS,BETASHARES AUSTRALIA 200 ETF,ETF UNITS,123.190002441406,11379229,20180508,20210701
A2B,A,A2B AUSTRALIA LTD FPO,A2B AUSTRALIA LIMITED,FPO,1.25999999046326,120430683,19991214,20210630
A2M,A,THE A2 MILK COMPANY FPO NZ,THE A2 MILK COMPANY LIMITED,FPO NZ,6.17999982833862,743410790,20150331,20210701
A3D,A,AURORA LABS LIMITED FPO,AURORA LABS LIMITED,FPO,0.0700000002980232,152896470,20160816,20210701
A4N,A,ALPHA HPA LTD FPO,ALPHA HPA LIMITED,FPO,0.540000021457672,790284971,20071022,20210701
A8G,A,AUSTRALASIAN GOLD FPO,AUSTRALASIAN GOLD LIMITED,FPO,0.144999995827675,33114941,20210513,20210701
AAA,A,BETASHARESCASHETF ETF UNITS,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,ETF UNITS,50.0699996948242,45844464,20120308,20210701
AAC,A,AUST AG CO-FPO,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,FPO,1.375,602766747,20010810,20210701
AAJ,A,ARUMA RESOURCES LTD DEF SET,ARUMA RESOURCES LIMITED,DEF SET,0.063000001013279,105960927,20100723,20210630
